90 1 90 90 51
90 2 179 143 85
90 3 267 179 90
90 4 354 185 90
90 5 440 224 84
90 6 525 258 67
90 7 609 266 60
90 8 692 287 83
90 9 774 294 83
90 10 855 287 87
90 11 935 330 57
90 12 1014 326 87
90 13 1092 339 89
90 14 1169 347 89
90 15 1245 349 90
90 16 1320 353 89
90 17 1394 364 88
90 18 1467 381 77
90 19 1539 387 87
90 20 1610 391 89
90 21 1680 387 90
90 22 1749 411 85
90 23 1817 400 85
90 24 1884 414 87
90 25 1950 391 87
90 26 2015 412 88
90 27 2079 414 88
90 28 2142 415 86
90 29 2204 421 89
90 30 2265 424 79
90 31 2325 424 88
90 32 2384 427 89
90 33 2442 432 88
90 34 2499 433 90
90 35 2555 432 89
90 36 2610 450 86
90 37 2664 452 89
90 38 2717 452 90
90 39 2769 458 90
90 40 2820 454 88
90 41 2870 455 88
90 42 2919 458 89
90 43 2967 468 89
90 44 3014 459 89
90 45 3060 462 89
90 46 3105 467 86
90 47 3149 467 89
90 48 3192 474 89
90 49 3234 471 88
90 50 3275 474 90
90 51 3315 468 90
90 52 3354 480 90
90 53 3392 475 90
90 54 3429 478 90
90 55 3465 477 88
90 56 3500 480 90
90 57 3534 478 89
90 58 3567 482 87
90 59 3599 479 90
90 60 3630 483 90
90 61 3660 482 90
90 62 3689 483 88
90 63 3717 483 90
90 64 3744 485 90
90 65 3770 487 89
90 66 3795 490 89
90 67 3819 489 90
90 68 3842 498 87
90 69 3864 494 90
90 70 3885 493 89
90 71 3905 493 90
90 72 3924 496 89
90 73 3942 498 90
90 74 3959 496 90
90 75 3975 499 89
90 76 3990 500 90
90 77 4004 502 90
90 78 4017 500 90
90 79 4029 505 90
90 80 4040 501 90
90 81 4050 504 90
90 82 4059 504 90
90 83 4067 507 88
90 84 4074 508 89
90 85 4080 506 90
90 86 4085 508 90
90 87 4089 508 90
90 88 4092 509 90
90 89 4094 509 90
90 90 4095 510 90
