100 1 0 0 0 0
100 2 2 2 2 2
100 3 7 5 5 6
100 4 14 9 9 13
100 5 27 14 12 14
100 6 34 19 18 21
100 7 47 23 21 28
100 8 58 25 31 36
100 9 70 32 29 39
100 10 87 43 40 47
100 11 89 41 43 54
100 12 104 52 47 62
100 13 123 53 60 69
100 14 134 65 73 77
100 15 146 78 72 81
100 16 160 77 74 83
100 17 178 90 74 104
100 18 193 89 82 125
100 19 221 92 109 108
100 20 246 97 93 156
100 21 266 136 102 124
100 22 255 140 109 132
100 23 294 128 121 149
100 24 282 119 137 181
100 25 337 140 154 152
100 26 310 191 149 162
100 27 317 145 158 169
100 28 354 176 155 177
100 29 343 229 170 196
100 30 387 181 163 204
100 31 446 173 177 243
100 32 441 199 186 245
100 33 458 221 188 225
100 34 478 213 235 253
100 35 540 214 203 259
100 36 526 233 241 257
100 37 516 213 226 302
100 38 591 228 248 288
100 39 623 254 246 297
100 40 555 241 259 293
100 41 664 237 265 286
100 42 619 263 293 404
100 43 742 360 268 305
100 44 672 346 271 323
100 45 668 329 291 366
100 46 747 373 333 355
100 47 727 297 311 367
100 48 747 317 349 390
100 49 841 365 313 374
100 50 784 372 374 422
100 51 879 337 366 392
100 52 807 384 366 412
100 53 856 348 398 466
100 54 985 408 383 438
100 55 875 431 427 423
100 56 996 450 393 447
100 57 913 395 430 521
100 58 1092 401 465 451
100 59 938 451 462 472
100 60 1027 462 432 515
100 61 1105 438 419 505
100 62 1032 486 472 535
100 63 1096 545 443 522
100 64 1046 487 440 498
100 65 1039 495 535 577
100 66 1135 556 457 648
100 67 1187 559 533 536
100 68 1157 546 537 546
100 69 1158 623 485 612
100 70 1329 513 474 582
100 71 1310 508 507 598
100 72 1317 577 546 699
100 73 1378 570 544 615
100 74 1309 584 570 594
100 75 1564 582 595 651
100 76 1418 598 579 641
100 77 1326 626 571 662
100 78 1591 616 614 690
100 79 1422 668 673 674
100 80 1509 614 630 640
100 81 1353 622 642 691
100 82 1545 571 674 722
100 83 1663 733 646 686
100 84 1414 670 752 710
100 85 1604 703 635 743
100 86 1608 631 691 803
100 87 1561 797 640 782
100 88 1685 808 666 803
100 89 1987 740 665 798
100 90 1749 708 750 762
100 91 1681 727 798 807
100 92 1699 887 689 796
100 93 1616 822 788 886
100 94 1845 768 738 808
100 95 1711 772 708 854
100 96 1823 861 761 937
100 97 2011 744 745 849
100 98 2044 745 759 903
100 99 1969 829 898 987
100 100 1970 891 737 945
