100 1 0 0
100 2 2 2
100 3 7 5
100 4 14 8
100 5 20 12
100 6 32 19
100 7 42 21
100 8 48 27
100 9 61 36
100 10 79 48
100 11 100 47
100 12 103 46
100 13 105 77
100 14 140 57
100 15 140 70
100 16 168 86
100 17 166 89
100 18 201 84
100 19 182 98
100 20 199 100
100 21 227 118
100 22 263 137
100 23 284 116
100 24 261 120
100 25 290 140
100 26 325 139
100 27 338 158
100 28 333 143
100 29 312 162
100 30 373 169
100 31 357 189
100 32 405 218
100 33 423 225
100 34 451 208
100 35 437 263
100 36 563 218
100 37 475 229
100 38 514 233
100 39 543 262
100 40 569 332
100 41 700 257
100 42 584 287
100 43 647 275
100 44 599 296
100 45 650 319
100 46 720 299
100 47 661 326
100 48 703 347
100 49 735 323
100 50 720 360
100 51 740 360
100 52 781 366
100 53 753 384
100 54 884 409
100 55 939 413
100 56 1004 396
100 57 842 408
100 58 870 446
100 59 894 451
100 60 914 423
100 61 965 437
100 62 982 441
100 63 1017 574
100 64 1119 517
100 65 1081 522
100 66 1023 488
100 67 1018 545
100 68 1199 491
100 69 1114 549
100 70 1257 504
100 71 1195 600
100 72 1200 525
100 73 1217 554
100 74 1408 588
100 75 1229 572
100 76 1287 606
100 77 1297 601
100 78 1260 657
100 79 1363 688
100 80 1371 654
100 81 1505 607
100 82 1386 628
100 83 1709 699
100 84 1436 699
100 85 1565 662
100 86 1539 658
100 87 1409 691
100 88 1503 694
100 89 1656 739
100 90 1629 755
100 91 1638 732
100 92 1570 740
100 93 1585 765
100 94 1564 788
100 95 1802 765
100 96 1643 826
100 97 1741 787
100 98 1914 1027
100 99 1922 943
100 100 1873 824
